Subject	Grade	Lecture	Presentation	Score
1	5th	Physical	Computer	53
2	5th	Physical	Computer	49
3	5th	Physical	Computer	47
4	5th	Physical	Computer	42
5	5th	Physical	Computer	51
6	5th	Physical	Computer	34
7	5th	Physical	Standard	44
8	5th	Physical	Standard	48
9	5th	Physical	Standard	35
10	5th	Physical	Standard	18
11	5th	Physical	Standard	32
12	5th	Physical	Standard	27
13	5th	Social	Computer	47
14	5th	Social	Computer	42
15	5th	Social	Computer	39
16	5th	Social	Computer	37
17	5th	Social	Computer	42
18	5th	Social	Computer	33
19	5th	Social	Standard	13
20	5th	Social	Standard	16
21	5th	Social	Standard	16
22	5th	Social	Standard	10
23	5th	Social	Standard	11
24	5th	Social	Standard	6
25	5th	History	Computer	45
26	5th	History	Computer	41
27	5th	History	Computer	38
28	5th	History	Computer	36
29	5th	History	Computer	35
30	5th	History	Computer	33
31	5th	History	Standard	46
32	5th	History	Standard	40
33	5th	History	Standard	29
34	5th	History	Standard	21
35	5th	History	Standard	30
36	5th	History	Standard	20
37	8th	Physical	Computer	52
38	8th	Physical	Computer	50
39	8th	Physical	Computer	46
40	8th	Physical	Computer	43
41	8th	Physical	Computer	51
42	8th	Physical	Computer	33
43	8th	Physical	Standard	44
44	8th	Physical	Standard	49
45	8th	Physical	Standard	34
46	8th	Physical	Standard	19
47	8th	Physical	Standard	32
48	8th	Physical	Standard	27
49	8th	Social	Computer	58
50	8th	Social	Computer	55
51	8th	Social	Computer	51
52	8th	Social	Computer	49
53	8th	Social	Computer	55
54	8th	Social	Computer	46
55	8th	Social	Standard	24
56	8th	Social	Standard	29
57	8th	Social	Standard	28
58	8th	Social	Standard	22
59	8th	Social	Standard	24
60	8th	Social	Standard	19
61	8th	History	Computer	44
62	8th	History	Computer	42
63	8th	History	Computer	39
64	8th	History	Computer	35
65	8th	History	Computer	35
66	8th	History	Computer	33
67	8th	History	Standard	44
68	8th	History	Standard	42
69	8th	History	Standard	27
70	8th	History	Standard	22
71	8th	History	Standard	31
72	8th	History	Standard	21
