"Cond" "SP" "Affect"
"1" 1 5 5.33
"2" 1 5 5.67
"3" 0 6 5.67
"4" 0 6 5.33
"5" 1 5.5 6.33
"6" 1 6 6
"7" 0 5.5 6
"8" 0 5.5 6
"9" 1 4.5 6
"10" 1 5 6
"11" 1 4 6
"12" 1 5 6
"13" 0 2.5 5.67
"14" 0 4 5.33
"15" 0 2.5 4
"16" 0 4.5 6.33
"17" 0 1 4.67
"18" 0 2 5
"19" 1 4.5 7
"20" 1 5.5 6.33
"21" 0 3 6
"22" 0 3 5
"23" 0 4 4.33
"24" 0 4.5 6
"25" 0 4 5.67
"26" 0 4 6
"27" 0 2.5 5
"28" 0 2.5 4.67
"29" 1 3.5 6
"30" 1 4 5
"31" 1 4 4.33
"32" 1 5 6.33
"33" 1 5 6
"34" 1 4.5 7
"35" 0 4.5 4.33
"36" 0 5 6
"37" 1 6 5.33
"38" 1 5.5 6
"39" 0 3 5.33
"40" 0 2.5 6
