hassles	support	symptoms
16	23	80
27	36	64
42	34	77
45	34	78
49	32	62
65	35	86
68	34	106
64	31	66
126	45	118
54	25	86
68	31	88
62	28	58
67	29	63
75	31	109
89	34	90
54	16	74
96	33	111
88	27	81
75	20	78
95	27	62
118	33	80
153	39	73
112	31	87
143	36	81
144	35	70
164	37	99
379	50	88
193	40	79
139	32	82
131	28	80
158	32	74
229	40	127
214	38	93
153	25	84
161	26	109
203	33	88
229	35	99
156	23	74
193	30	100
202	31	102
171	25	74
219	32	93
201	29	91
172	20	88
202	23	102
298	33	111
176	10	73
185	11	125
277	26	101
217	15	97
290	26	96
717	27	117
260	20	131
525	16	177
342	16	75
380	14	107
