"profnumber" "eval" "beauty" "female" "age" "minority" "tenured" "gpa"
"1" 1 4.3 0.2015666 1 36 1 0 2.1
"2" 2 4.5 -0.8260813 0 59 0 1 4
"3" 3 3.7 -0.6603327 0 51 0 1 2.76
"4" 4 4.3 -0.7663125 1 40 0 1 3.47
"5" 5 4.4 1.421445 1 31 0 0 4
"6" 6 4.2 0.5002196 0 62 0 1 4
"7" 7 4 -0.2143501 1 33 0 0 2.43
"8" 8 3.4 -0.346539 1 51 0 1 2.35
"9" 9 4.5 0.0613435 1 33 0 0 4
"10" 10 3.9 0.4525679 0 47 0 0 2.6
"11" 11 3.1 0.1432643 0 35 1 0 0.31
"12" 12 4 -0.1550228 0 37 0 0 3.05
"13" 13 3.8 0.1285433 0 42 0 1 2.06
"14" 14 3.4 -0.3470453 0 49 0 1 2.71
"15" 15 2.9 0.4619388 1 37 0 0 1.23
"16" 16 4.5 -0.1503849 0 45 0 1 1.37
"17" 17 4 -1.070734 1 56 0 0 1.85
"18" 18 3.8 -0.1426931 0 48 0 0 3.41
"19" 19 4.3 -0.1563634 1 46 0 1 1.79
"20" 20 3.4 -0.0589354 1 57 0 0 1.99
"21" 21 3.4 0.1511368 1 52 0 0 2.24
"22" 22 3.3 -0.937076 1 29 1 0 0.27
"23" 23 4.3 -0.8214405 0 62 0 1 3.95
"24" 24 4.4 -0.1994712 0 64 0 1 1.49
"25" 25 4.6 1.687167 1 34 0 0 1.64
"26" 26 4.2 -0.4101976 0 58 0 1 2.19
"27" 27 4 0.1233448 0 52 1 1 2.38
"28" 28 3.3 -0.8059942 0 73 0 1 3.09
"29" 29 4.4 -0.8210418 0 70 0 1 2.56
"30" 30 2.3 0.3198185 1 41 0 0 1.08
"31" 31 3.5 -0.0985568 0 63 0 0 4
"32" 32 4.7 -1.012306 0 47 0 1 4
"33" 33 3.9 0.4883314 0 39 0 1 1.83
"34" 34 4 -0.1719505 1 47 1 0 1.1
"35" 35 4.3 -1.167907 0 54 0 1 3.61
"36" 36 3.8 0.9525534 1 44 1 1 1.47
"37" 37 3.8 -1.140457 0 47 1 1 2.11
"38" 38 4 -0.8161172 0 62 0 1 2.7
"39" 39 4.6 -0.4837456 0 60 0 1 3.5
"40" 40 3.5 0.8450468 0 37 0 0 3.12
"41" 41 4.7 -0.3261277 0 42 0 0 2.49
"42" 42 4.2 0.1865589 0 35 0 1 4
"43" 43 3.4 1.881674 1 39 0 0 0.11
"44" 44 3.9 0.9626006 0 49 0 1 1.61
"45" 45 4.5 0.1534694 0 61 0 1 2.35
"46" 46 4.7 1.261046 0 33 0 0 2.14
"47" 47 3.5 0.0232144 1 58 0 1 3.57
"48" 48 3.7 -0.3460746 1 56 0 1 0.6
"49" 49 4 -0.744618 1 50 0 0 3.29
"50" 50 4.1 -0.7447439 0 52 0 1 3.23
"51" 51 4.4 0.6361284 1 33 0 0 3.17
"52" 52 4.2 0.5434852 0 57 0 1 1.7
"53" 53 4.5 0.9825948 1 38 0 1 2.69
"54" 54 3.8 -1.538843 1 34 0 0 1.9
"55" 55 3.1 1.067531 0 34 0 0 2.45
"56" 56 3.7 -0.4143639 0 32 0 0 3.05
"57" 57 3.9 0.7962944 1 42 0 1 3.69
"58" 58 4 -0.6466943 1 43 0 1 1.17
"59" 59 3.3 -0.4299034 0 35 0 0 2.96
"60" 60 3.1 -0.5924066 1 62 0 1 1.73
"61" 61 4 -0.9889295 0 42 0 1 4
"62" 62 4.3 0.5546651 0 39 0 1 1.69
"63" 63 3.7 0.6851749 1 52 0 1 1.37
"64" 64 3.4 0.9755885 1 52 0 1 3.16
"65" 65 4.3 -1.178738 1 52 0 0 4
"66" 66 3.7 -1.157511 0 64 0 1 2.15
"67" 67 4.2 1.327346 0 50 0 1 1.69
"68" 68 2.2 -1.511268 0 60 0 1 1.54
"69" 69 3 0.3034731 1 51 0 1 1.98
"70" 70 4.3 -0.5783117 0 43 0 0 2.22
"71" 71 4.6 -0.671936 0 50 1 0 1.37
"72" 72 3.5 0.6683338 0 52 0 1 2.36
"73" 73 4.6 0.7924695 0 51 0 1 4
"74" 74 3.7 -0.6548505 0 38 0 1 1.05
"75" 75 3.8 0.2510546 1 47 0 1 2.28
"76" 76 3.6 -0.2397178 1 43 1 1 3.47
"77" 77 4.4 -1.113346 1 38 0 0 3.85
"78" 78 4.1 -0.1135935 0 43 0 1 4
"79" 79 4.3 -0.8351366 0 57 0 1 3.08
"80" 80 4 0.9005994 1 51 0 1 0.6
"81" 81 4.8 -0.620769 0 45 0 0 3.12
"82" 82 3.5 -0.8552412 0 57 0 1 2.3
"83" 83 3.6 1.065906 1 47 0 0 0.86
"84" 84 3.8 1.144253 1 54 1 1 3.81
"85" 85 4.7 1.685985 0 58 0 0 4
"86" 86 4.9 1.684802 0 42 0 1 4
"87" 87 4.3 0.6362435 0 33 0 0 2.25
"88" 88 3.3 -1.269975 0 62 0 1 1.89
"89" 89 3.4 1.681103 1 35 1 0 0.17
"90" 90 3.6 -0.6756103 0 61 0 1 0.4
"91" 91 4 -0.0901815 1 52 0 1 3.54
"92" 92 3.9 -0.1450257 1 60 0 0 2.92
"93" 93 4.3 1.143045 0 32 0 0 3.53
"94" 94 3.3 0.3320507 1 42 1 0 3.23
