student_id,student_scores
568995,25
719246,56
859229,30
621451,31
478071,20
399834,37
562727,37
282133,34
539383,39
335919,44
704181,32
870299,27
382100,32
280143,40
831073,38
667211,33
917915,52
558576,43
951393,45
846712,37
449327,42
534697,60
605576,50
642606,37
505848,30
262314,37
874649,38
516373,41
962746,41
906046,44
461821,47
158298,61
482716,35
857552,29
488027,36
816219,35
436273,43
656259,35
544499,48
785286,30
411445,41
523985,28
293833,46
118880,24
728622,37
364511,44
785578,30
134141,42
235869,47
978065,35
112794,40
451461,39
802262,45
291853,60
304364,29
226878,47
591977,45
161307,27
405117,37
140680,43
328657,44
621084,50
668261,49
674670,42
216165,48
242627,48
133183,60
760757,19
957703,50
956151,51
509987,35
119232,43
817499,36
668056,38
263776,39
470127,34
340305,27
256621,36
280757,45
821626,38
633587,40
199456,27
556216,38
267773,52
414649,40
929229,49
983346,38
598378,51
264971,35
695753,30
894913,44
891782,30
211298,49
578499,41
647458,50
750206,37
577166,45
774905,33
305928,38
947968,30
958775,59
170453,41
815249,58
668185,34
816645,41
865325,48
621270,38
181605,44
889267,28
521580,55
741266,41
492845,35
522328,35
659347,47
845128,28
775676,26
871089,38
283143,39
119385,43
531063,52
299677,38
265134,47
985086,44
676735,26
745193,27
129168,54
484871,38
608259,61
951947,22
469911,39
771471,48
779111,43
174805,33
303409,51
711408,37
592941,51
618168,44
158028,48
139005,27
708213,45
974613,51
239909,33
172197,54
941879,54
169171,27
274144,31
722500,21
775783,40
808030,31
689006,24
224721,43
441180,46
240676,37
400697,35
516573,44
788780,50
365751,43
928049,19
422861,43
322852,44
788493,23
189987,52
656228,22
390948,42
163374,34
910741,35
283148,31
290634,56
825876,33
929461,48
985101,34
435233,36
543804,35
226619,37
938201,47
310040,48
685512,32
344592,42
429013,57
376024,32
263296,25
380637,27
960375,33
349843,36
527036,35
208249,30
866942,39
850075,47
727561,52
207176,52
437454,55
801874,37
497472,59
142497,45
321669,45
967087,43
718167,48
530528,44
217231,26
828052,31
840526,10
241095,39
481217,53
499395,26
347831,31
647558,57
929027,42
389740,26
850594,49
962218,40
671798,43
800041,39
657065,41
564085,30
639669,41
907521,53
220335,37
882742,55
357299,35
372368,31
361143,50
469318,29
610184,49
702165,34
475379,44
363062,36
153497,36
815359,44
511470,57
500460,29
662164,39
369936,36
903188,47
255728,24
342652,33
708272,27
548021,36
607154,54
130875,33
846361,31
789370,41
145748,38
583990,47
245116,45
155574,39
716063,45
769897,34
996835,58
891425,50
240112,49
754069,80
104292,84
711482,85
891573,90
349403,83
114341,89
892774,86
188092,87
729316,72
324694,73
379529,86
366059,102
157361,79
557232,81
602579,84
689325,88
829370,86
435575,85
947142,102
337351,84
277662,60
304792,89
208509,92
124873,83
856867,81
254082,80
461931,94
804735,80
677418,99
547539,102
546143,83
212016,90
513347,76
324249,83
532636,96
100794,62
183865,102
735284,97
658907,76
332068,94
580708,86
966593,56
340283,85
864427,89
324014,66
833810,79
106771,82
460592,92
105578,75
130793,94
665041,70
657261,76
905193,75
907872,83
545777,102
734775,92
616741,83
532982,91
699481,109
659574,85
561703,88
852954,87
906725,94
133281,93
424623,74
851941,83
602148,74
800235,88
726713,77
897126,65
625152,91
247557,81
631080,70
362348,87
260156,77
118688,91
601878,86
900352,90
819121,92
502339,101
510723,96
844142,79
324308,76
749406,85
959694,84
203176,65
326628,82
342580,81
177438,82
144644,90
228101,81
386214,75
641824,87
353143,88
816654,97
427386,83
659374,69
805982,87
929795,72
871793,101
962381,82
299880,70
514884,87
457730,91
708721,82
202893,94
600516,74
269631,78
824397,74
625181,90
588483,76
241639,77
174429,90
776750,83
252189,91
215743,76
911357,85
474676,87
833102,86
490745,93
782272,83
960729,85
147979,93
402457,109
665686,91
248318,90
329405,92
677586,74
113285,85
151738,72
787163,72
576341,81
837508,87
889878,79
450482,101
678646,70
299428,83
632755,95
948997,84
412278,85
756106,85
241001,111
360469,98
382051,70
866046,97
575645,96
825376,84
972587,77
832711,77
729867,83
572341,86
804006,71
597309,71
348539,88
147818,87
461557,87
521273,83
772577,79
708567,102
338664,96
791952,98
905956,75
328846,90
972513,69
230246,97
731471,95
441460,85
141326,82
272266,96
935275,82
334542,90
978119,76
778373,70
959053,87
629204,84
168927,82
337040,75
523257,87
882650,66
290382,75
440202,91
820339,87
158220,88
157666,88
204767,88
235295,73
325594,78
227005,67
178894,84
456831,84
401523,80
877796,92
218301,79
917568,97
354392,86
579281,92
938493,92
210731,90
689626,83
815545,90
106906,92
928473,63
943161,80
168313,87
753639,91
136165,86
709705,92
854764,80
264520,84
490379,88
338967,73
833701,93
783597,81
358221,83
550863,100
621568,88
153759,81
386397,86
978982,80
566298,88
964722,88
175094,81
268576,88
455684,81
330500,96
756567,79
105689,112
301224,105
680458,65
167923,79
998071,88
496526,84
198689,105
207284,74
889130,94
298192,83
721192,96
459770,93
923443,71
812519,84
762271,86
535264,91
459918,62
419385,80
942266,79
329840,80
707806,92
785189,64
523643,85
409206,81
