"profnumber" "beauty" "female" "age" "minority" "tenured"
"1" 1 0.2015666 1 36 1 0
"2" 2 -0.8260813 0 59 0 1
"3" 3 -0.6603327 0 51 0 1
"4" 4 -0.7663125 1 40 0 1
"5" 5 1.421445 1 31 0 0
"6" 6 0.5002196 0 62 0 1
"7" 7 -0.2143501 1 33 0 0
"8" 8 -0.346539 1 51 0 1
"9" 9 0.0613435 1 33 0 0
"10" 10 0.4525679 0 47 0 0
"11" 11 0.1432643 0 35 1 0
"12" 12 -0.1550228 0 37 0 0
"13" 13 0.1285433 0 42 0 1
"14" 14 -0.3470453 0 49 0 1
"15" 15 0.4619388 1 37 0 0
"16" 16 -0.1503849 0 45 0 1
"17" 17 -1.070734 1 56 0 0
"18" 18 -0.1426931 0 48 0 0
"19" 19 -0.1563634 1 46 0 1
"20" 20 -0.0589354 1 57 0 0
"21" 21 0.1511368 1 52 0 0
"22" 22 -0.937076 1 29 1 0
"23" 23 -0.8214405 0 62 0 1
"24" 24 -0.1994712 0 64 0 1
"25" 25 1.687167 1 34 0 0
"26" 26 -0.4101976 0 58 0 1
"27" 27 0.1233448 0 52 1 1
"28" 28 -0.8059942 0 73 0 1
"29" 29 -0.8210418 0 70 0 1
"30" 30 0.3198185 1 41 0 0
"31" 31 -0.0985568 0 63 0 0
"32" 32 -1.012306 0 47 0 1
"33" 33 0.4883314 0 39 0 1
"34" 34 -0.1719505 1 47 1 0
"35" 35 -1.167907 0 54 0 1
"36" 36 0.9525534 1 44 1 1
"37" 37 -1.140457 0 47 1 1
"38" 38 -0.8161172 0 62 0 1
"39" 39 -0.4837456 0 60 0 1
"40" 40 0.8450468 0 37 0 0
"41" 41 -0.3261277 0 42 0 0
"42" 42 0.1865589 0 35 0 1
"43" 43 1.881674 1 39 0 0
"44" 44 0.9626006 0 49 0 1
"45" 45 0.1534694 0 61 0 1
"46" 46 1.261046 0 33 0 0
"47" 47 0.0232144 1 58 0 1
"48" 48 -0.3460746 1 56 0 1
"49" 49 -0.744618 1 50 0 0
"50" 50 -0.7447439 0 52 0 1
"51" 51 0.6361284 1 33 0 0
"52" 52 0.5434852 0 57 0 1
"53" 53 0.9825948 1 38 0 1
"54" 54 -1.538843 1 34 0 0
"55" 55 1.067531 0 34 0 0
"56" 56 -0.4143639 0 32 0 0
"57" 57 0.7962944 1 42 0 1
"58" 58 -0.6466943 1 43 0 1
"59" 59 -0.4299034 0 35 0 0
"60" 60 -0.5924066 1 62 0 1
"61" 61 -0.9889295 0 42 0 1
"62" 62 0.5546651 0 39 0 1
"63" 63 0.6851749 1 52 0 1
"64" 64 0.9755885 1 52 0 1
"65" 65 -1.178738 1 52 0 0
"66" 66 -1.157511 0 64 0 1
"67" 67 1.327346 0 50 0 1
"68" 68 -1.511268 0 60 0 1
"69" 69 0.3034731 1 51 0 1
"70" 70 -0.5783117 0 43 0 0
"71" 71 -0.671936 0 50 1 0
"72" 72 0.6683338 0 52 0 1
"73" 73 0.7924695 0 51 0 1
"74" 74 -0.6548505 0 38 0 1
"75" 75 0.2510546 1 47 0 1
"76" 76 -0.2397178 1 43 1 1
"77" 77 -1.113346 1 38 0 0
"78" 78 -0.1135935 0 43 0 1
"79" 79 -0.8351366 0 57 0 1
"80" 80 0.9005994 1 51 0 1
"81" 81 -0.620769 0 45 0 0
"82" 82 -0.8552412 0 57 0 1
"83" 83 1.065906 1 47 0 0
"84" 84 1.144253 1 54 1 1
"85" 85 1.685985 0 58 0 0
"86" 86 1.684802 0 42 0 1
"87" 87 0.6362435 0 33 0 0
"88" 88 -1.269975 0 62 0 1
"89" 89 1.681103 1 35 1 0
"90" 90 -0.6756103 0 61 0 1
"91" 91 -0.0901815 1 52 0 1
"92" 92 -0.1450257 1 60 0 0
"93" 93 1.143045 0 32 0 0
"94" 94 0.3320507 1 42 1 0
