id  group  pretest1  pretest2   posttest1   posttest2   posttest3
1  Control         4         3           5           4          41
2  Control         6         5           9           5          41
3  Control         9         4           5           3          43
4  Control        12         6           8           5          46
5  Control        16         5          10           9          46
6  Control        15        13           9           8          45
7  Control        14         8          12           5          45
8  Control        12         7           5           5          32
9  Control        12         3           8           7          33
10 Control         8         8           7           7          39
11 Control        13         7          12           4          42
12 Control         9         2           4           4          45
13 Control        12         5           4           6          39
14 Control        12         2           8           8          44
15 Control        12         2           6           4          36
16 Control        10        10           9          10          49
17 Control         8         5           3           3          40
18 Control        12         5           5           5          35
19 Control        11         3           4           5          36
20 Control         8         4           2           3          40
21 Control         7         3           5           4          54
22 Control         9         6           7           8          32
23  DRTA         7         2           7           6          31
24  DRTA         7         6           5           6          40
25  DRTA        12         4          13           3          48
26  DRTA        10         1           5           7          30
27  DRTA        16         8          14           7          42
28  DRTA        15         7          14           6          48
29  DRTA         9         6          10           9          49
30  DRTA         8         7          13           5          53
31  DRTA        13         7          12           7          48
32  DRTA        12         8          11           6          43
33  DRTA         7         6           8           5          55
34  DRTA         6         2           7           0          55
35  DRTA         8         4          10           6          57
36  DRTA         9         6           8           6          53
37  DRTA         9         4           8           7          37
38  DRTA         8         4          10          11          50
39  DRTA         9         5          12           6          54
40  DRTA        13         6          10           6          41
41  DRTA        10         2          11           6          49
42  DRTA         8         6           7           8          47
43  DRTA         8         5           8           8          49
44  DRTA        10         6          12           6          49
45 TA        11         7          11          12          53
46 TA         7         6           4           8          47
47 TA         4         6           4          10          41
48 TA         7         2           4           4          49
49 TA         7         6           3           9          43
50 TA         6         5           8           5          45
51 TA        11         5          12           8          50
52 TA        14         6          14          12          48
53 TA        13         6          12          11          49
54 TA         9         5           7          11          42
55 TA        12         3           5          10          38
56 TA        13         9           9           9          42
57 TA         4         6           1          10          34
58 TA        13         8          13           1          48
59 TA         6         4           7           9          51
60 TA        12         3           5          13          33
61 TA         6         6           7           9          44
62 TA        11         4          11           7          48
63 TA        14         4          15           7          49
64 TA         8         2           9           5          33
65 TA         5         3           6           8          45
66 TA         8         3           4           6          42
