BFNE SIAS SPS SPAS BIQ ASI APEVAL OWPRE SAAS
18 7 3 44 0.6363636364 2.2857142857 3 3 1
23 3 5 28 -0.727272727 1.5714285714 5 1.3333333333 1
16 5 3 32 0.4 1.3571428571 3.8571428571 1 1
27 6 2 39 0.6363636364 2.7142857143 4.8571428571 2 1
13 5 4 30 -1.545454545 1.7142857143 5 2 1
20 18 6 31 0.5454545455 2 3.7142857143 2 1
30 5 3 30 0 1.6428571429 5 1 1
12 6 4 33 -0.272727273 2.5 4 3 1
27 3 7 41 0 3.1428571429 4.7142857143 1 1.0625
26 8 0 45 0.6 2.9285714286 3.7142857143 3 1.0625
22 4 8 33 0.0909090909 1.6428571429 4.2857142857 1 1.0625
25 21 9 44 -0.454545455 1.5714285714 2.8571428571 3.3333333333 1.0625
22 0 3 26 1.7272727273 1.9285714286 5 1 1.125
19 8 2 30 0.0909090909 1.5714285714 4.8571428571 1 1.125
18 22 8 38 1.8181818182 2.5714285714 3.7142857143 3 1.125
24 11 4 26 0.5454545455 1.3571428571 4.8571428571 1 1.125
22 4 2 40 0.3636363636 1.6428571429 4.2857142857 2.3333333333 1.125
26 9 4 40 1.1818181818 2.2142857143 3.4285714286 2 1.125
26 10 3 29 0.5454545455 2.7142857143 4.5714285714 1.6666666667 1.125
27 14 2 43 1.2727272727 3 3.1428571429 1 1.1875
20 7 5 40 -0.272727273 1.9285714286 4.5714285714 2.3333333333 1.1875
26 11 8 39 -0.818181818 3 3.8571428571 1.3333333333 1.1875
28 9 14 43 1.1818181818 2 NA 1 1.1875
26 19 4 40 0.7272727273 2.2857142857 3.7142857143 2.3333333333 1.1875
27 23 17 44 0.5454545455 2.5 4 3.6666666667 1.1875
16 12 10 53 3.4545454545 2.7857142857 2.8571428571 3 1.1875
23 7 7 33 -0.272727273 2.5714285714 4.1428571429 1.3333333333 1.25
23 17 14 40 0.2727272727 2.8571428571 4.5714285714 2.3333333333 1.25
29 6 2 37 0.3636363636 1.5 3.8571428571 1 1.25
29 7 10 38 0.1818181818 1.3571428571 3.8571428571 1.6666666667 1.25
27 15 10 44 3.4545454545 2.7857142857 3.1428571429 1 1.25
28 26 14 45 0.6363636364 2.5 3.8571428571 2 1.25
26 21 8 38 0.0909090909 1.3571428571 3.7142857143 2.3333333333 1.25
21 9 2 41 0.7272727273 1.9285714286 3.8571428571 2.3333333333 1.25
26 14 11 40 0.2727272727 1.8571428571 4 1.3333333333 1.25
21 11 2 36 1.0909090909 2.7857142857 3 3.6666666667 1.3125
29 18 10 41 0.3636363636 2.6428571429 4.4285714286 1 1.3125
27 18 13 34 0.3636363636 2.3571428571 3.8571428571 1.6666666667 1.3125
27 19 8 39 0.7272727273 2.1428571429 4.1428571429 2.6666666667 1.3125
29 25 13 39 1 1.7142857143 3.4285714286 2.3333333333 1.3125
32 19 19 44 -0.090909091 3 3.7142857143 2.6666666667 1.375
22 2 2 44 1.1818181818 2.5714285714 4.2857142857 5 1.375
28 14 24 32 -2.545454545 2.9285714286 3.5714285714 1 1.375
26 12 5 44 0.3636363636 1.3571428571 4 3.3333333333 1.375
29 10 9 46 2.6363636364 2.6428571429 3.1428571429 3.6666666667 1.375
41 29 17 41 2 2.5714285714 4.7142857143 3 1.4375
20 12 3 45 0.5454545455 1.7142857143 3 3.3333333333 1.4375
32 6 5 40 1.0909090909 2.2857142857 4.1428571429 3.3333333333 1.5
35 32 14 52 5.7272727273 4.1428571429 3.7142857143 5 1.5
25 7 16 55 2.1818181818 2.5714285714 2.7142857143 3.6666666667 1.5
26 19 8 45 0.1818181818 2.3571428571 3.1428571429 3.3333333333 1.5
42 24 14 56 1.3636363636 3.5714285714 2.8571428571 3.6666666667 1.5625
25 19 8 37 0.7272727273 1.7857142857 3.5714285714 1.3333333333 1.625
19 23 15 44 0.3636363636 1.5 3.7142857143 1 1.625
25 13 9 45 1.5454545455 3.0714285714 3.5714285714 2.3333333333 1.625
28 13 9 47 1.2727272727 2.9285714286 2.8571428571 2.6666666667 1.625
28 18 21 49 0 1.5714285714 3.5714285714 2.3333333333 1.625
37 20 8 51 1.8181818182 2.5 2.4285714286 2.6666666667 1.6875
36 32 11 48 0 1.1428571429 2.4285714286 1.3333333333 1.6875
36 24 10 30 -0.090909091 2 3.8571428571 1.6666666667 1.75
30 22 25 52 0.3636363636 2.2857142857 2.8571428571 3.6666666667 1.75
22 7 10 48 0.4545454545 2.4285714286 3.5714285714 4.3333333333 1.75
33 17 10 49 0.3636363636 2.2857142857 3.1428571429 3 1.75
