Subject, Lecture, Score
1, Physical, 53
2, Physical, 49
3, Physical, 47
4, Physical, 42
5, Physical, 51
6, Physical, 34
7, Physical, 44
8, Physical, 48
9, Physical, 35
10, Physical, 18
11, Physical, 32
12, Physical, 27
1, Social, 47
2, Social, 42
3, Social, 39
4, Social, 37
5, Social, 42
6, Social, 33
7, Social, 13
8, Social, 16
9, Social, 16
10, Social, 10
11, Social, 11
12, Social, 6
1, History, 45
2, History, 41
3, History, 38
4, History, 36
5, History, 35
6, History, 33
7, History, 46
8, History, 40
9, History, 29
10, History, 21
11, History, 30
12, History, 20
